,dateorder,idbill,idproduct,qty,price
52385,2020-09-21,62391,30365,1.0,6.15
52389,2020-09-21,62472,30365,1.0,6.15
52403,2020-09-21,62766,30365,2.0,12.3
52470,2020-09-21,63366,30365,1.0,6.15
52526,2020-09-21,69329,30365,1.0,6.15
52532,2020-09-21,69409,30365,1.0,6.15
52557,2020-09-21,70376,30365,1.0,6.15
52608,2020-09-21,70994,30365,1.0,6.15
52645,2020-09-21,71123,30365,1.0,6.15
52846,2020-09-21,77964,30365,1.0,6.15
52879,2020-09-21,78139,30365,2.0,12.3
52911,2020-09-21,81489,30365,1.0,6.04
52916,2020-09-21,81533,30365,1.0,6.04
52941,2020-09-21,81686,30365,1.0,6.04
53033,2020-09-21,82110,30365,1.0,6.15
53050,2020-09-21,82176,30365,1.0,6.15
53052,2020-09-21,88020,30365,1.0,6.15
53064,2020-09-21,88060,30365,2.0,12.3
53078,2020-09-21,88137,30365,1.0,6.15
53090,2020-09-21,88214,30365,1.0,6.15
53093,2020-09-21,88243,30365,1.0,6.15
53111,2020-09-21,88360,30365,2.0,12.3
53130,2020-09-21,91754,30365,1.0,6.15
53185,2020-09-21,106956,30365,3.0,18.12
53227,2020-09-21,107231,30365,1.0,6.04
53332,2020-09-21,110454,30365,1.0,6.15
53353,2020-09-21,110618,30365,1.0,6.15
53456,2020-09-21,146212,30365,2.0,12.3
53480,2020-09-21,152202,30365,1.0,6.15
53523,2020-09-21,161717,30365,1.0,6.15
53548,2020-09-21,167994,30365,1.0,6.15
53549,2020-09-21,167996,30365,1.0,6.15
53572,2020-09-21,168072,30365,1.0,6.15
53575,2020-09-21,168077,30365,1.0,6.15
53631,2020-09-21,191454,30365,1.0,6.15
53645,2020-09-21,193875,30365,1.0,6.15
53656,2020-09-21,193894,30365,1.0,6.15
53703,2020-09-21,196024,30365,1.0,6.15
53708,2020-09-21,196060,30365,1.0,6.15
53716,2020-09-21,196097,30365,1.0,6.15
53720,2020-09-21,196152,30365,1.0,6.15
53723,2020-09-21,223111,30365,2.0,12.3
53726,2020-09-21,223112,30365,1.0,6.15
53748,2020-09-21,223284,30365,1.0,6.15
53815,2020-09-21,248614,30365,1.0,6.15
53849,2020-09-21,261654,30365,1.0,6.15
53895,2020-09-21,273904,30365,1.0,6.15
53923,2020-09-21,274000,30365,1.0,6.15
53941,2020-09-21,324752,30365,1.0,6.15
53945,2020-09-21,324852,30365,1.0,6.15
53981,2020-09-21,342450,30365,1.0,6.15
53987,2020-09-21,342511,30365,1.0,6.15
53997,2020-09-21,342573,30365,1.0,6.15
54021,2020-09-21,478791,30365,1.0,6.15
54112,2020-09-22,274,30365,2.0,12.3
54142,2020-09-22,1429,30365,1.0,6.15
54178,2020-09-22,8158,30365,1.0,6.15
54180,2020-09-22,8186,30365,2.0,12.3
54362,2020-09-22,16126,30365,1.0,6.15
54371,2020-09-22,16226,30365,2.0,11.68
54473,2020-09-22,17057,30365,1.0,6.15
54478,2020-09-22,17092,30365,1.0,6.15
54596,2020-09-22,17928,30365,1.0,6.15
54751,2020-09-22,21872,30365,1.0,6.15
54805,2020-09-22,25996,30365,1.0,6.15
54855,2020-09-22,26366,30365,1.0,6.15
54883,2020-09-22,26435,30365,1.0,6.15
54910,2020-09-22,27135,30365,1.0,6.15
54938,2020-09-22,27187,30365,1.0,6.15
55093,2020-09-22,29425,30365,1.0,6.15
55115,2020-09-22,31039,30365,1.0,6.15
55122,2020-09-22,31129,30365,2.0,12.3
55128,2020-09-22,31147,30365,1.0,6.15
55139,2020-09-22,31249,30365,1.0,6.15
55145,2020-09-22,31328,30365,2.0,12.3
55285,2020-09-22,31631,30365,1.0,6.15
55366,2020-09-22,34344,30365,2.0,12.3
55481,2020-09-22,37124,30365,1.0,6.15
55530,2020-09-22,38319,30365,1.0,6.15
55567,2020-09-22,43596,30365,2.0,12.3
55568,2020-09-22,43606,30365,1.0,6.15
55577,2020-09-22,43644,30365,1.0,6.15
55747,2020-09-22,44710,30365,2.0,12.3
55775,2020-09-22,44758,30365,1.0,6.15
55848,2020-09-22,45966,30365,1.0,6.15
55850,2020-09-22,45974,30365,3.0,18.45
55857,2020-09-22,47178,30365,1.0,6.15
55867,2020-09-22,47224,30365,1.0,6.15
55879,2020-09-22,47233,30365,1.0,6.15
55911,2020-09-22,49519,30365,2.0,12.3
55973,2020-09-22,53155,30365,2.0,12.3
56006,2020-09-22,53751,30365,1.0,6.15
56007,2020-09-22,53752,30365,1.0,6.15
56066,2020-09-22,54198,30365,1.0,6.15
56072,2020-09-22,54218,30365,2.0,12.3
56092,2020-09-22,54288,30365,1.0,6.15
56116,2020-09-22,57174,30365,1.0,6.15
56181,2020-09-22,58087,30365,1.0,6.15
56206,2020-09-22,58166,30365,1.0,6.15
56280,2020-09-22,62166,30365,1.0,6.15
56286,2020-09-22,62204,30365,1.0,6.15
56402,2020-09-22,62750,30365,1.0,6.15
56433,2020-09-22,62954,30365,1.0,6.15
56503,2020-09-22,63161,30365,1.0,6.15
56541,2020-09-22,63819,30365,1.0,6.15
56544,2020-09-22,63838,30365,1.0,6.15
56617,2020-09-22,70803,30365,1.0,6.15
56646,2020-09-22,71013,30365,1.0,6.15
56656,2020-09-22,71358,30365,1.0,6.15
56665,2020-09-22,71393,30365,1.0,6.15
56679,2020-09-22,71427,30365,1.0,6.15
56691,2020-09-22,71508,30365,1.0,6.15
56769,2020-09-22,75407,30365,1.0,6.15
56810,2020-09-22,75912,30365,1.0,6.15
56899,2020-09-22,78365,30365,1.0,6.15
56926,2020-09-22,78446,30365,1.0,6.15
57003,2020-09-22,81880,30365,1.0,6.04
57011,2020-09-22,81940,30365,2.0,12.08
57013,2020-09-22,81950,30365,2.0,12.08
57155,2020-09-22,88631,30365,1.0,6.15
57208,2020-09-22,88816,30365,1.0,6.15
57260,2020-09-22,93780,30365,1.0,6.15
57277,2020-09-22,101219,30365,2.0,12.3
57304,2020-09-22,108021,30365,1.0,6.04
57311,2020-09-22,108078,30365,1.0,6.04
57319,2020-09-22,108129,30365,1.0,6.04
57342,2020-09-22,108320,30365,1.0,6.04
57387,2020-09-22,108618,30365,1.0,6.04
57420,2020-09-22,109076,30365,1.0,6.15
57446,2020-09-22,109382,30365,1.0,6.15
57453,2020-09-22,109405,30365,1.0,6.15
57455,2020-09-22,110909,30365,1.0,6.15
57506,2020-09-22,111142,30365,1.0,6.15
57521,2020-09-22,111243,30365,1.0,6.15
57650,2020-09-22,146372,30365,1.0,6.15
57732,2020-09-22,152506,30365,1.0,6.15
57798,2020-09-22,168284,30365,1.0,6.15
57952,2020-09-22,196202,30365,1.0,6.15
57954,2020-09-22,196217,30365,1.0,6.15
57959,2020-09-22,196318,30365,1.0,6.15
57966,2020-09-22,223334,30365,1.0,6.15
58014,2020-09-22,247200,30365,1.0,6.15
58068,2020-09-22,247323,30365,1.0,6.15
58077,2020-09-22,248665,30365,1.0,6.15
58115,2020-09-22,248913,30365,2.0,12.3
58119,2020-09-22,261878,30365,1.0,6.15
58131,2020-09-22,274113,30365,1.0,6.15
58132,2020-09-22,274147,30365,2.0,12.3
58145,2020-09-22,274204,30365,1.0,6.15
58179,2020-09-22,274317,30365,1.0,6.15
58274,2020-09-22,342878,30365,1.0,6.15
58286,2020-09-22,342936,30365,1.0,6.15
58291,2020-09-22,342964,30365,1.0,6.15
58363,2020-09-23,373,30365,1.0,6.15
58396,2020-09-23,1452,30365,1.0,6.15
58397,2020-09-23,1463,30365,1.0,6.15
58420,2020-09-23,1531,30365,1.0,6.15
58546,2020-09-23,11732,30365,1.0,6.15
58556,2020-09-23,11762,30365,1.0,6.15
58639,2020-09-23,16351,30365,1.0,6.15
58804,2020-09-23,17693,30365,1.0,6.15
58813,2020-09-23,17712,30365,1.0,6.15
58816,2020-09-23,17835,30365,2.0,12.3
58833,2020-09-23,17860,30365,1.0,6.15
58841,2020-09-23,17880,30365,2.0,12.3
59154,2020-09-23,26603,30365,1.0,6.15
59175,2020-09-23,26653,30365,2.0,12.3
59182,2020-09-23,27259,30365,1.0,6.15
59188,2020-09-23,27271,30365,1.0,6.15
59298,2020-09-23,28827,30365,1.0,6.15
59367,2020-09-23,29263,30365,1.0,6.15
59374,2020-09-23,29480,30365,1.0,6.15
59414,2020-09-23,29563,30365,1.0,6.15
59438,2020-09-23,29604,30365,1.0,6.15
59504,2020-09-23,31678,30365,1.0,6.15
59764,2020-09-23,37253,30365,1.0,6.15
59886,2020-09-23,42657,30365,1.0,6.15
59907,2020-09-23,43845,30365,1.0,6.15
60047,2020-09-23,44948,30365,2.0,12.3
60083,2020-09-23,46049,30365,1.0,6.15
60105,2020-09-23,47281,30365,1.0,6.15
60119,2020-09-23,47375,30365,2.0,12.3
60171,2020-09-23,53300,30365,1.0,6.15
60406,2020-09-23,58409,30365,1.0,6.15
60485,2020-09-23,62458,30365,1.0,6.15
60512,2020-09-23,62547,30365,1.0,6.15
60544,2020-09-23,62631,30365,1.0,6.15
60565,2020-09-23,62746,30365,2.0,12.3
60594,2020-09-23,63006,30365,1.0,6.15
60607,2020-09-23,63116,30365,1.0,6.15
60636,2020-09-23,63273,30365,1.0,6.15
60671,2020-09-23,63858,30365,1.0,6.15
60688,2020-09-23,63977,30365,1.0,6.15
60780,2020-09-23,71177,30365,1.0,6.15
60822,2020-09-23,71692,30365,1.0,6.15
60831,2020-09-23,71767,30365,1.0,6.15
60836,2020-09-23,71797,30365,1.0,6.15
60843,2020-09-23,73500,30365,1.0,6.15
60845,2020-09-23,73522,30365,1.0,6.15
60862,2020-09-23,73731,30365,1.0,6.15
60923,2020-09-23,76224,30365,1.0,6.15
60927,2020-09-23,76233,30365,1.0,6.15
60931,2020-09-23,76252,30365,1.0,6.15
60947,2020-09-23,76326,30365,2.0,12.3
60948,2020-09-23,76327,30365,2.0,12.3
60949,2020-09-23,76330,30365,1.0,6.15
60964,2020-09-23,76411,30365,1.0,6.15
60970,2020-09-23,76441,30365,1.0,6.15
60979,2020-09-23,78701,30365,1.0,6.15
61016,2020-09-23,78863,30365,1.0,6.15
61055,2020-09-23,79062,30365,1.0,6.15
61090,2020-09-23,82207,30365,1.0,6.04
61100,2020-09-23,82257,30365,2.0,12.08
61163,2020-09-23,82712,30365,1.0,6.15
61172,2020-09-23,82744,30365,2.0,12.3
61198,2020-09-23,82817,30365,1.0,6.15
61227,2020-09-23,82899,30365,1.0,6.15
61249,2020-09-23,82997,30365,2.0,12.3
61255,2020-09-23,88917,30365,1.0,6.15
61389,2020-09-23,108952,30365,1.0,6.04
61431,2020-09-23,109176,30365,1.0,6.04
61455,2020-09-23,109379,30365,6.0,36.23
61507,2020-09-23,109770,30365,1.0,6.15
61575,2020-09-23,111810,30365,1.0,6.15
61773,2020-09-23,168458,30365,1.0,6.15
61792,2020-09-23,191864,30365,1.0,6.15
61878,2020-09-23,194443,30365,1.0,6.15
61909,2020-09-23,194531,30365,1.0,6.15
61912,2020-09-23,194545,30365,1.0,6.15
61921,2020-09-23,194574,30365,1.0,6.15
61924,2020-09-23,196390,30365,2.0,12.3
61935,2020-09-23,196479,30365,1.0,6.15
61958,2020-09-23,223633,30365,1.0,6.15
61962,2020-09-23,223691,30365,1.0,6.15
61963,2020-09-23,223695,30365,1.0,6.15
61967,2020-09-23,223710,30365,1.0,6.15
61970,2020-09-23,223751,30365,1.0,6.15
62001,2020-09-23,247505,30365,1.0,6.15
62030,2020-09-23,247626,30365,1.0,6.15
62056,2020-09-23,249101,30365,1.0,6.15
62068,2020-09-23,249181,30365,1.0,6.15
62180,2020-09-23,274707,30365,1.0,6.15
62214,2020-09-23,325336,30365,1.0,6.15
62248,2020-09-23,343076,30365,2.0,12.3
62358,2020-09-24,472,30365,2.0,12.3
62516,2020-09-24,11782,30365,1.0,6.15
62554,2020-09-24,16250,30365,1.0,6.15
62562,2020-09-24,16276,30365,1.0,6.15
62609,2020-09-24,17161,30365,1.0,6.15
62925,2020-09-24,25603,30365,1.0,6.15
62961,2020-09-24,26698,30365,1.0,6.15
62980,2020-09-24,26790,30365,1.0,6.15
62987,2020-09-24,26819,30365,2.0,12.3
63088,2020-09-24,29050,30365,2.0,12.3
63098,2020-09-24,29076,30365,1.0,6.15
63182,2020-09-24,29759,30365,1.0,6.15
63253,2020-09-24,31870,30365,1.0,6.15
63356,2020-09-24,33302,30365,1.0,6.15
63359,2020-09-24,33345,30365,1.0,6.15
63539,2020-09-24,38557,30365,1.0,6.15
63570,2020-09-24,38664,30365,1.0,6.15
63612,2020-09-24,42764,30365,1.0,6.15
63614,2020-09-24,42771,30365,1.0,5.84
63630,2020-09-24,42863,30365,1.0,6.15
63631,2020-09-24,43888,30365,2.0,12.3
63634,2020-09-24,43921,30365,1.0,6.15
63648,2020-09-24,43998,30365,1.0,6.15
63649,2020-09-24,44677,30365,1.0,6.15
63665,2020-09-24,44724,30365,1.0,6.15
63724,2020-09-24,45050,30365,1.0,6.15
63747,2020-09-24,45137,30365,1.0,6.15
63766,2020-09-24,45166,30365,1.0,6.15
63776,2020-09-24,45183,30365,1.0,6.15
63796,2020-09-24,47533,30365,1.0,6.15
63826,2020-09-24,53464,30365,1.0,6.15
63830,2020-09-24,53494,30365,1.0,6.15
63836,2020-09-24,53531,30365,2.0,12.3
63840,2020-09-24,53566,30365,1.0,6.15
63844,2020-09-24,54110,30365,1.0,6.15
63875,2020-09-24,54749,30365,1.0,6.15
63886,2020-09-24,57499,30365,1.0,6.15
63900,2020-09-24,57667,30365,1.0,6.15
63950,2020-09-24,58571,30365,1.0,6.15
63960,2020-09-24,58622,30365,1.0,6.15
64086,2020-09-24,62965,30365,1.0,6.15
64108,2020-09-24,63256,30365,1.0,6.15
64190,2020-09-24,63633,30365,1.0,6.15
64212,2020-09-24,64288,30365,1.0,6.15
64255,2020-09-24,65190,30365,1.0,6.15
64268,2020-09-24,71453,30365,1.0,6.15
64279,2020-09-24,71501,30365,1.0,6.15
64288,2020-09-24,71578,30365,1.0,6.15
64304,2020-09-24,71667,30365,2.0,12.3
64317,2020-09-24,71925,30365,1.0,6.15
64360,2020-09-24,73832,30365,1.0,6.15
64489,2020-09-24,76663,30365,1.0,6.15
64504,2020-09-24,76731,30365,1.0,6.15
64569,2020-09-24,79407,30365,1.0,6.15
64616,2020-09-24,82488,30365,1.0,6.04
64751,2020-09-24,83387,30365,1.0,6.15
64779,2020-09-24,89443,30365,1.0,6.15
64818,2020-09-24,89675,30365,1.0,6.15
64826,2020-09-24,92316,30365,1.0,6.15
64833,2020-09-24,93974,30365,1.0,6.15
64933,2020-09-24,109973,30365,1.0,6.04
64942,2020-09-24,109998,30365,1.0,6.04
64963,2020-09-24,110084,30365,1.0,6.04
64964,2020-09-24,110086,30365,5.0,30.2
64965,2020-09-24,110091,30365,1.0,6.15
65007,2020-09-24,110265,30365,1.0,6.15
65010,2020-09-24,110322,30365,3.0,18.45
65021,2020-09-24,111869,30365,1.0,6.15
65026,2020-09-24,111893,30365,1.0,6.15
65038,2020-09-24,111972,30365,2.0,12.3
65062,2020-09-24,112114,30365,1.0,6.15
65075,2020-09-24,112142,30365,1.0,6.15
65076,2020-09-24,112162,30365,2.0,12.3
65083,2020-09-24,112224,30365,2.0,12.3
65127,2020-09-24,146763,30365,1.0,6.15
65146,2020-09-24,146798,30365,1.0,6.15
65153,2020-09-24,146816,30365,1.0,6.15
65293,2020-09-24,192201,30365,1.0,6.15
65362,2020-09-24,194697,30365,1.0,6.15
65370,2020-09-24,194718,30365,1.0,6.15
65408,2020-09-24,194810,30365,1.0,6.15
65427,2020-09-24,196582,30365,1.0,6.15
65485,2020-09-24,224059,30365,1.0,6.15
65515,2020-09-24,247761,30365,1.0,6.15
65516,2020-09-24,247772,30365,1.0,6.15
65531,2020-09-24,247925,30365,1.0,6.15
65599,2020-09-24,262307,30365,1.0,6.15
65619,2020-09-24,274855,30365,1.0,6.15
65621,2020-09-24,274871,30365,5.0,30.75
65622,2020-09-24,274877,30365,1.0,6.15
65679,2020-09-24,325526,30365,2.0,12.3
65682,2020-09-24,325537,30365,1.0,6.15
65689,2020-09-24,325578,30365,2.0,12.3
65696,2020-09-24,325654,30365,2.0,12.3
65731,2020-09-24,343492,30365,1.0,6.15
65836,2020-09-25,10851,30365,2.0,12.3
65920,2020-09-25,12600,30365,2.0,12.08
66051,2020-09-25,17764,30365,1.0,6.15
66076,2020-09-25,17793,30365,1.0,6.15
66102,2020-09-25,17830,30365,1.0,5.53
66113,2020-09-25,17966,30365,1.0,6.15
66129,2020-09-25,18694,30365,1.0,6.15
66136,2020-09-25,18762,30365,1.0,6.15
66298,2020-09-25,22273,30365,1.0,5.53
66358,2020-09-25,26924,30365,1.0,6.15
66382,2020-09-25,27004,30365,1.0,6.15
66391,2020-09-25,27012,30365,1.0,6.15
66507,2020-09-25,29235,30365,4.0,24.6
66523,2020-09-25,29473,30365,2.0,12.3
66649,2020-09-25,32028,30365,1.0,6.15
66825,2020-09-25,34577,30365,1.0,6.15
66851,2020-09-25,34908,30365,1.0,6.15
66877,2020-09-25,37018,30365,1.0,6.15
66957,2020-09-25,38845,30365,1.0,6.15
66990,2020-09-25,39009,30365,1.0,6.15
67003,2020-09-25,42930,30365,1.0,6.15
67070,2020-09-25,44166,30365,2.0,12.3
67082,2020-09-25,44240,30365,1.0,6.15
67099,2020-09-25,44856,30365,1.0,6.15
67117,2020-09-25,45022,30365,1.0,6.15
67127,2020-09-25,45198,30365,1.0,6.15
67270,2020-09-25,46234,30365,1.0,6.15
67274,2020-09-25,46240,30365,1.0,6.15
67281,2020-09-25,46273,30365,1.0,6.15
67290,2020-09-25,46330,30365,1.0,6.15
67312,2020-09-25,47660,30365,1.0,6.15
67326,2020-09-25,47772,30365,1.0,6.15
67336,2020-09-25,49675,30365,1.0,6.15
67410,2020-09-25,53806,30365,1.0,6.15
67418,2020-09-25,54268,30365,2.0,12.3
67438,2020-09-25,54458,30365,1.0,6.15
67458,2020-09-25,54688,30365,1.0,6.15
67481,2020-09-25,54833,30365,1.0,6.15
67504,2020-09-25,55021,30365,1.0,6.15
67542,2020-09-25,58686,30365,1.0,6.15
67630,2020-09-25,58909,30365,1.0,6.15
67670,2020-09-25,59317,30365,1.0,6.15
67694,2020-09-25,62913,30365,1.0,6.15
67716,2020-09-25,63083,30365,1.0,6.15
67720,2020-09-25,63122,30365,1.0,6.15
67722,2020-09-25,63133,30365,1.0,6.15
67829,2020-09-25,63867,30365,1.0,6.15
67841,2020-09-25,63927,30365,1.0,6.15
67866,2020-09-25,64455,30365,1.0,6.15
67873,2020-09-25,64499,30365,2.0,12.3
67886,2020-09-25,64627,30365,1.0,6.15
67892,2020-09-25,64644,30365,1.0,6.15
67895,2020-09-25,64680,30365,1.0,6.15
67896,2020-09-25,64686,30365,2.0,12.3
67901,2020-09-25,64697,30365,1.0,6.15
67908,2020-09-25,64739,30365,1.0,6.15
67912,2020-09-25,64762,30365,1.0,6.15
67928,2020-09-25,70488,30365,1.0,6.15
68007,2020-09-25,71986,30365,1.0,6.15
68032,2020-09-25,72328,30365,1.0,6.15
68050,2020-09-25,72436,30365,1.0,6.15
68055,2020-09-25,72454,30365,1.0,6.15
68061,2020-09-25,72522,30365,2.0,12.3
68120,2020-09-25,75675,30365,1.0,6.15
68124,2020-09-25,76789,30365,1.0,6.15
68179,2020-09-25,77055,30365,1.0,6.15
68182,2020-09-25,77077,30365,1.0,6.15
68249,2020-09-25,79782,30365,2.0,12.3
68269,2020-09-25,82668,30365,1.0,6.04
68311,2020-09-25,82819,30365,1.0,6.04
68410,2020-09-25,83746,30365,1.0,6.15
68463,2020-09-25,89885,30365,1.0,6.15
68466,2020-09-25,89887,30365,1.0,6.15
68506,2020-09-25,92448,30365,1.0,6.15
68559,2020-09-25,110220,30365,1.0,6.04
68571,2020-09-25,110298,30365,1.0,6.04
68577,2020-09-25,110403,30365,1.0,6.15
68582,2020-09-25,110420,30365,1.0,6.15
68601,2020-09-25,110544,30365,1.0,6.04
68624,2020-09-25,110671,30365,1.0,6.15
68648,2020-09-25,112556,30365,1.0,6.15
68660,2020-09-25,112697,30365,1.0,6.15
68662,2020-09-25,112712,30365,1.0,6.15
68677,2020-09-25,112831,30365,1.0,6.15
68678,2020-09-25,112832,30365,1.0,6.15
68681,2020-09-25,112886,30365,2.0,12.3
68682,2020-09-25,112899,30365,1.0,6.15
68788,2020-09-25,152995,30365,1.0,6.15
68799,2020-09-25,153075,30365,1.0,6.15
68832,2020-09-25,162615,30365,2.0,12.3
68901,2020-09-25,168825,30365,1.0,6.15
68932,2020-09-25,168938,30365,1.0,6.15
68963,2020-09-25,192581,30365,1.0,6.15
68989,2020-09-25,194874,30365,2.0,12.3
69029,2020-09-25,194954,30365,1.0,6.15
69085,2020-09-25,196664,30365,1.0,6.15
69087,2020-09-25,196740,30365,1.0,6.15
69096,2020-09-25,224137,30365,1.0,6.15
69107,2020-09-25,224173,30365,3.0,18.45
69123,2020-09-25,224318,30365,2.0,12.3
69147,2020-09-25,224389,30365,2.0,12.3
69190,2020-09-25,248241,30365,2.0,12.3
69191,2020-09-25,249442,30365,1.0,6.15
69202,2020-09-25,249521,30365,1.0,6.15
69243,2020-09-25,249705,30365,2.0,12.3
69249,2020-09-25,262457,30365,2.0,12.3
69250,2020-09-25,262482,30365,1.0,6.15
69262,2020-09-25,262557,30365,1.0,6.15
69273,2020-09-25,262592,30365,1.0,6.15
69299,2020-09-25,262709,30365,1.0,6.15
69308,2020-09-25,262772,30365,2.0,12.3
69321,2020-09-25,275256,30365,1.0,6.15
69359,2020-09-25,275606,30365,1.0,6.15
69366,2020-09-25,325856,30365,2.0,12.3
69367,2020-09-25,325864,30365,1.0,6.15
69420,2020-09-25,343895,30365,1.0,6.15
69465,2020-09-25,480006,30365,1.0,6.15
69471,2020-09-25,480198,30365,1.0,6.15
69487,2020-09-26,12021,30365,2.0,12.3
69513,2020-09-26,22234,30365,1.0,6.15
69524,2020-09-26,22306,30365,1.0,6.15
69554,2020-09-26,27026,30365,1.0,6.15
69559,2020-09-26,27085,30365,1.0,6.15
69580,2020-09-26,29632,30365,1.0,6.15
69586,2020-09-26,31976,30365,1.0,6.15
69604,2020-09-26,32156,30365,1.0,6.15
69612,2020-09-26,33212,30365,1.0,6.15
69613,2020-09-26,33213,30365,1.0,6.15
69620,2020-09-26,33342,30365,1.0,6.15
69631,2020-09-26,33709,30365,1.0,6.15
69636,2020-09-26,34987,30365,1.0,6.15
69722,2020-09-26,45208,30365,1.0,6.15
69723,2020-09-26,45231,30365,1.0,6.15
69739,2020-09-26,45427,30365,1.0,6.15
69740,2020-09-26,45429,30365,1.0,6.15
69752,2020-09-26,45466,30365,1.0,6.15
69754,2020-09-26,45471,30365,1.0,6.15
69762,2020-09-26,45492,30365,1.0,6.15
69842,2020-09-26,46553,30365,2.0,12.3
69868,2020-09-26,47785,30365,1.0,6.15
69909,2020-09-26,51064,30365,2.0,12.3
69917,2020-09-26,53814,30365,1.0,6.15
69946,2020-09-26,53931,30365,1.0,6.15
69951,2020-09-26,54053,30365,1.0,6.15
69952,2020-09-26,54064,30365,1.0,6.15
69995,2020-09-26,54880,30365,3.0,18.45
69997,2020-09-26,54881,30365,1.0,6.15
70070,2020-09-26,59003,30365,1.0,6.15
70114,2020-09-26,59175,30365,1.0,6.15
70127,2020-09-26,59265,30365,1.0,6.15
70154,2020-09-26,63317,30365,1.0,6.15
70157,2020-09-26,63324,30365,1.0,6.15
70160,2020-09-26,63325,30365,1.0,6.15
70168,2020-09-26,63429,30365,1.0,6.15
70194,2020-09-26,63539,30365,1.0,6.15
70195,2020-09-26,63541,30365,1.0,6.15
70205,2020-09-26,63737,30365,1.0,6.15
70216,2020-09-26,63785,30365,1.0,6.15
70231,2020-09-26,63914,30365,2.0,12.3
70232,2020-09-26,63928,30365,1.0,6.15
70294,2020-09-26,64142,30365,1.0,6.15
70305,2020-09-26,64227,30365,1.0,6.15
70314,2020-09-26,64257,30365,1.0,6.15
70316,2020-09-26,64281,30365,2.0,12.3
70328,2020-09-26,64815,30365,1.0,6.15
70330,2020-09-26,64854,30365,1.0,6.15
70342,2020-09-26,65013,30365,1.0,6.15
70356,2020-09-26,71135,30365,2.0,12.3
70390,2020-09-26,72101,30365,1.0,6.15
70408,2020-09-26,72255,30365,1.0,6.15
70409,2020-09-26,72267,30365,1.0,6.15
70424,2020-09-26,72631,30365,1.0,6.15
70425,2020-09-26,72640,30365,2.0,12.3
70439,2020-09-26,72895,30365,2.0,12.3
70449,2020-09-26,74520,30365,1.0,6.15
70482,2020-09-26,77160,30365,1.0,6.15
70498,2020-09-26,77255,30365,1.0,6.15
70510,2020-09-26,77368,30365,3.0,18.45
70512,2020-09-26,77392,30365,1.0,6.15
70540,2020-09-26,80010,30365,2.0,12.3
70554,2020-09-26,80094,30365,2.0,12.3
70564,2020-09-26,80176,30365,1.0,6.15
70568,2020-09-26,80223,30365,1.0,6.15
70572,2020-09-26,80259,30365,1.0,6.15
70586,2020-09-26,83144,30365,2.0,12.08
70602,2020-09-26,83291,30365,2.0,12.08
70603,2020-09-26,83309,30365,1.0,6.04
70604,2020-09-26,83363,30365,1.0,6.04
70607,2020-09-26,83385,30365,1.0,6.04
70608,2020-09-26,83393,30365,1.0,6.04
70637,2020-09-26,83862,30365,2.0,12.3
70638,2020-09-26,83866,30365,2.0,12.3
70652,2020-09-26,83916,30365,1.0,6.15
70660,2020-09-26,83954,30365,1.0,6.15
70663,2020-09-26,83958,30365,2.0,12.3
70672,2020-09-26,84013,30365,1.0,6.15
70706,2020-09-26,90444,30365,1.0,6.15
70709,2020-09-26,90535,30365,1.0,6.15
70715,2020-09-26,92612,30365,1.0,6.15
70730,2020-09-26,101790,30365,1.0,6.15
70752,2020-09-26,111233,30365,1.0,6.15
70767,2020-09-26,113035,30365,1.0,6.15
70770,2020-09-26,113083,30365,1.0,6.15
70776,2020-09-26,113203,30365,1.0,6.15
70804,2020-09-26,113384,30365,1.0,6.15
70829,2020-09-26,153137,30365,1.0,6.15
70855,2020-09-26,162776,30365,1.0,6.15
70868,2020-09-26,162891,30365,1.0,6.15
70888,2020-09-26,162978,30365,1.0,6.15
70897,2020-09-26,163010,30365,1.0,6.15
70958,2020-09-26,192745,30365,1.0,6.15
70982,2020-09-26,195125,30365,1.0,6.15
70993,2020-09-26,195146,30365,1.0,6.15
70998,2020-09-26,195149,30365,1.0,6.15
71026,2020-09-26,195241,30365,1.0,6.15
71050,2020-09-26,195333,30365,1.0,6.15
71051,2020-09-26,195337,30365,1.0,6.15
71069,2020-09-26,196945,30365,1.0,6.15
71084,2020-09-26,224461,30365,1.0,6.15
71110,2020-09-26,224581,30365,1.0,6.15
71127,2020-09-26,224649,30365,2.0,12.3
71134,2020-09-26,224674,30365,1.0,6.15
71142,2020-09-26,224807,30365,1.0,6.15
71157,2020-09-26,248291,30365,1.0,6.15
71163,2020-09-26,248332,30365,2.0,12.3
71173,2020-09-26,248452,30365,1.0,6.15
71176,2020-09-26,248509,30365,1.0,6.15
71187,2020-09-26,249776,30365,1.0,6.15
71196,2020-09-26,249870,30365,1.0,6.15
71240,2020-09-26,263036,30365,1.0,6.15
71242,2020-09-26,263051,30365,1.0,6.15
71257,2020-09-26,263126,30365,1.0,6.15
71262,2020-09-26,275619,30365,1.0,6.15
71268,2020-09-26,275715,30365,1.0,6.15
71278,2020-09-26,275911,30365,2.0,12.3
71285,2020-09-26,326102,30365,1.0,6.15
71287,2020-09-26,326167,30365,1.0,6.15
71303,2020-09-26,344199,30365,1.0,6.15
71306,2020-09-26,344217,30365,1.0,6.15
71336,2020-09-26,344494,30365,1.0,6.15
71344,2020-09-26,344583,30365,1.0,6.15
71356,2020-09-27,18141,30365,1.0,6.15
71373,2020-09-27,29804,30365,1.0,6.15
